work_year,job_title,salary_in_usd,experience_level,employment_type,work_setting,company_location
2023,ML Engineer,289076,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,288000,Senior,Full-time,Remote,United States
2023,Data Engineer,288000,Senior,Full-time,Remote,United States
2023,Machine Learning Engineer,288000,Senior,Full-time,Remote,United States
2023,ML Engineer,287700,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,287500,Mid-level,Full-time,In-person,Australia
2023,Machine Learning Engineer,287500,Mid-level,Full-time,In-person,Australia
2023,Research Scientist,287500,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,287500,Senior,Full-time,In-person,United States
2023,Data Scientist,287500,Senior,Full-time,In-person,United States
2023,Data Engineer,286000,Executive,Full-time,Remote,United States
2023,Data Scientist,285800,Senior,Full-time,In-person,United States
2023,Data Scientist,285800,Senior,Full-time,Remote,United States
2023,Data Architect,285000,Senior,Full-time,Remote,United States
2023,Machine Learning Engineer,285000,Senior,Full-time,In-person,United States
2023,Research Scientist,285000,Senior,Full-time,In-person,United States
2023,Data Scientist,285000,Senior,Full-time,Remote,United States
2023,Machine Learning Engineer,285000,Mid-level,Full-time,In-person,United States
2023,Data Engineer,285000,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,284310,Senior,Full-time,In-person,United States
2023,Data Engineer,284310,Senior,Full-time,In-person,United States
2023,Data Engineer,284310,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,284050,Senior,Full-time,In-person,United States
2023,Data Engineer,284000,Executive,Full-time,Remote,United States
2023,Machine Learning Engineer,284000,Senior,Full-time,Remote,United States
2023,Machine Learning Engineer,283780,Senior,Full-time,In-person,United States
2023,Deep Learning Engineer,283780,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,283780,Senior,Full-time,In-person,United States
2023,Data Engineer,283780,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,283780,Senior,Full-time,In-person,United States
2023,Deep Learning Engineer,283780,Senior,Full-time,In-person,United States
2023,Data Engineer,283780,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,283780,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,283200,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,283200,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,283200,Senior,Full-time,Remote,United States
2023,Research Scientist,283050,Senior,Full-time,In-person,United States
2023,Data Scientist,283000,Senior,Full-time,In-person,United States
2023,Data Engineer,282000,Senior,Full-time,In-person,United States
2023,Data Engineer,282000,Senior,Full-time,In-person,United States
2023,Applied Scientist,281700,Entry-level,Full-time,In-person,United States
2023,Data Scientist,281000,Senior,Full-time,In-person,Canada
2023,Data Scientist,281000,Senior,Full-time,In-person,Canada
2023,Data Scientist,281000,Senior,Full-time,In-person,Canada
2023,Research Engineer,281000,Senior,Full-time,In-person,United States
2023,Data Scientist,280889,Senior,Full-time,In-person,United States
2023,Data Scientist,280830,Senior,Full-time,Remote,Canada
2023,Machine Learning Engineer,280700,Mid-level,Full-time,Remote,United States
2023,Data Engineer,280600,Senior,Full-time,In-person,United States
2023,Data Engineer,280600,Senior,Full-time,In-person,United States
2023,Data Architect,280100,Senior,Full-time,Remote,United States
2023,Data Architect,280100,Senior,Full-time,Remote,United States
2023,Machine Learning Scientist,280000,Senior,Full-time,Remote,United States
2023,Data Analyst,280000,Senior,Full-time,In-person,United States
2023,Computer Vision Engineer,280000,Senior,Full-time,In-person,United States
2023,Data Analyst,280000,Senior,Full-time,In-person,United States
2023,Research Scientist,280000,Mid-level,Full-time,Hybrid,United Kingdom
2023,Machine Learning Engineer,280000,Senior,Full-time,In-person,United States
2023,Data Engineer,280000,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,280000,Senior,Full-time,In-person,United States
2023,Data Scientist,280000,Senior,Full-time,Remote,United States
2023,Data Engineer,280000,Senior,Full-time,In-person,United States
2023,Computer Vision Engineer,280000,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,280000,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,280000,Senior,Full-time,In-person,United States
2023,Data Scientist,278700,Senior,Full-time,In-person,United States
2023,Data Scientist,278700,Senior,Full-time,In-person,United States
2023,Research Scientist,278700,Senior,Full-time,In-person,United States
2023,Research Scientist,278700,Senior,Full-time,In-person,United States
2023,Research Scientist,278700,Senior,Full-time,In-person,United States
2023,Data Scientist,278700,Senior,Full-time,In-person,United States
2023,Data Engineer,278300,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,278000,Senior,Full-time,In-person,United States
2023,Data Scientist,277500,Senior,Full-time,In-person,United States
